"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N"
"32" "Chr1" "TAIR10" "gene" 8723712 8724459 "AT1G24620" NA 1 NA NA NA
"33" "Chr1" "TAIR10" "gene" 8725883 8727212 "AT1G24625" NA 1 NA NA NA
"34" "Chr1" "TAIR10" "gene" 11243191 11244392 "AT1G31390" NA 1 NA NA NA
"35" "Chr1" "TAIR10" "gene" 11245225 11246481 "AT1G31400" NA 1 NA NA NA
"36" "Chr1" "TAIR10" "gene" 11246914 11249359 "AT1G31410" NA 1 NA NA NA
"37" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"38" "Chr1" "TAIR10" "gene" 11246914 11249359 "AT1G31410" NA 1 NA NA NA
"39" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"40" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"41" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"42" "Chr1" "TAIR10" "gene" 19409711 19414678 "AT1G52150" NA 1 NA NA NA
"43" "Chr1" "TAIR10" "gene" 27469534 27473554 "AT1G73020" NA 1 NA NA NA
"44" "Chr2" "TAIR10" "gene" 1702221 1704003 "AT2G04845" NA 1 NA NA NA
"45" "Chr2" "TAIR10" "gene" 1704283 1705778 "AT2G04850" NA 1 NA NA NA
"46" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"47" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"48" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"49" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"50" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"51" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"52" "Chr2" "TAIR10" "gene" 1711596 1714877 "AT2G04865" NA 1 NA NA NA
"53" "Chr2" "TAIR10" "gene" 2330776 2331479 "AT2G06002" NA 1 NA NA NA
"54" "Chr2" "TAIR10" "gene" 6743613 6744830 "AT2G15440" NA 1 NA NA NA
"55" "Chr2" "TAIR10" "gene" 6743613 6744830 "AT2G15440" NA 1 NA NA NA
"56" "Chr3" "TAIR10" "gene" 5374248 5376275 "AT3G15890" NA 1 NA NA NA
"57" "Chr3" "TAIR10" "gene" 5376251 5377179 "AT3G15900" NA 1 NA NA NA
"58" "Chr3" "TAIR10" "gene" 15620912 15621007 "AT3G43722" NA 1 NA NA NA
"59" "Chr3" "TAIR10" "gene" 15620912 15621007 "AT3G43722" NA 1 NA NA NA
"60" "Chr3" "TAIR10" "gene" 15644054 15645662 "AT3G43740" NA 1 NA NA NA
"61" "Chr3" "TAIR10" "gene" 15644054 15645662 "AT3G43740" NA 1 NA NA NA
"62" "Chr3" "TAIR10" "gene" 15664371 15666460 "AT3G43810" NA 1 NA NA NA
"63" "Chr3" "TAIR10" "gene" 15664371 15666460 "AT3G43810" NA 1 NA NA NA
"64" "Chr3" "TAIR10" "gene" 15664371 15666460 "AT3G43810" NA 1 NA NA NA
"65" "Chr3" "TAIR10" "gene" 16569051 16569827 "AT3G45230" NA 1 NA NA NA
"66" "Chr4" "TAIR10" "gene" 11746513 11750698 "AT4G22200" NA 1 NA NA NA
"67" "Chr4" "TAIR10" "gene" 11752468 11752816 "AT4G22210" NA 1 NA NA NA
"68" "Chr5" "TAIR10" "gene" 13197652 13197999 "AT5G34881" NA 1 NA NA NA
"69" "Chr5" "TAIR10" "gene" 13197652 13197999 "AT5G34881" NA 1 NA NA NA
"70" "Chr5" "TAIR10" "gene" 14690436 14692851 "AT5G37140" NA 1 NA NA NA
"71" "Chr5" "TAIR10" "gene" 14690436 14692851 "AT5G37140" NA 1 NA NA NA
"72" "Chr5" "TAIR10" "gene" 19422203 19425811 "AT5G47970" NA 1 NA NA NA
"73" "Chr5" "TAIR10" "gene" 19522255 19524698 "AT5G48150" NA 1 NA NA NA
"74" "Chr5" "TAIR10" "gene" 19527833 19530316 "AT5G48160" NA 1 NA NA NA
"75" "Chr5" "TAIR10" "gene" 19527833 19530316 "AT5G48160" NA 1 NA NA NA
"76" "Chr5" "TAIR10" "gene" 19532537 19533265 "AT5G48170" NA 1 NA NA NA
"77" "Chr5" "TAIR10" "gene" 21865268 21868948 "AT5G53860" NA 1 NA NA NA
"78" "Chr5" "TAIR10" "gene" 21869864 21871284 "AT5G53870" NA 1 NA NA NA
"79" "Chr5" "TAIR10" "gene" 22295383 22298346 "AT5G54900" NA 1 NA NA NA
"80" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA
"81" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA
"82" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA
"83" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA
"84" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA
"85" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA
"86" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA
"87" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"88" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"89" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"90" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"91" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"92" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"93" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"94" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"95" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"96" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"97" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"98" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"99" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"100" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"101" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"102" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"103" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"104" "Chr4" "TAIR10" "gene" 10391965 10393991 "AT4G18975" NA NA 1 NA NA
"105" "Chr4" "TAIR10" "gene" 10411490 10414249 "AT4G19010" NA NA 1 NA NA
"106" "Chr4" "TAIR10" "gene" 10414526 10421209 "AT4G19020" NA NA 1 NA NA
"107" "Chr4" "TAIR10" "gene" 10431520 10437431 "AT4G19040" NA NA 1 NA NA
"108" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"109" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"110" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"111" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"112" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"113" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"114" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"115" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"116" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"117" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"118" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"119" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"120" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"121" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"122" "Chr4" "TAIR10" "gene" 10449900 10452757 "AT4G19090" NA NA 1 NA NA
"123" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"124" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"125" "Chr4" "TAIR10" "gene" 10449900 10452757 "AT4G19090" NA NA 1 NA NA
"126" "Chr4" "TAIR10" "gene" 10446340 10448190 "AT4G19070" NA NA 1 NA NA
"127" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA
"128" "Chr4" "TAIR10" "gene" 10449900 10452757 "AT4G19090" NA NA 1 NA NA
"129" "Chr4" "TAIR10" "gene" 10452889 10453521 "AT4G19095" NA NA 1 NA NA
"130" "Chr4" "TAIR10" "gene" 10453415 10454359 "AT4G19100" NA NA 1 NA NA
"131" "Chr4" "TAIR10" "gene" 10454497 10459328 "AT4G19110" NA NA 1 NA NA
"132" "Chr4" "TAIR10" "gene" 10454528 10459328 "AT4G19112" NA NA 1 NA NA
"133" "Chr4" "TAIR10" "gene" 10452889 10453521 "AT4G19095" NA NA 1 NA NA
"134" "Chr4" "TAIR10" "gene" 10453415 10454359 "AT4G19100" NA NA 1 NA NA
"135" "Chr4" "TAIR10" "gene" 10454497 10459328 "AT4G19110" NA NA 1 NA NA
"136" "Chr4" "TAIR10" "gene" 10454528 10459328 "AT4G19112" NA NA 1 NA NA
"137" "Chr4" "TAIR10" "gene" 10452889 10453521 "AT4G19095" NA NA 1 NA NA
"138" "Chr4" "TAIR10" "gene" 10453415 10454359 "AT4G19100" NA NA 1 NA NA
"139" "Chr4" "TAIR10" "gene" 10454497 10459328 "AT4G19110" NA NA 1 NA NA
"140" "Chr4" "TAIR10" "gene" 10454528 10459328 "AT4G19112" NA NA 1 NA NA
"141" "Chr4" "TAIR10" "gene" 10453415 10454359 "AT4G19100" NA NA 1 NA NA
"142" "Chr4" "TAIR10" "gene" 10454497 10459328 "AT4G19110" NA NA 1 NA NA
"143" "Chr4" "TAIR10" "gene" 10454528 10459328 "AT4G19112" NA NA 1 NA NA
"144" "Chr1" "TAIR10" "gene" 13039916 13042102 "AT1G35460" NA NA NA 1 NA
"145" "Chr1" "TAIR10" "gene" 26999452 27002342 "AT1G71800" NA NA NA 1 NA
"146" "Chr1" "TAIR10" "gene" 27002414 27008176 "AT1G71810" NA NA NA 1 NA
"147" "Chr3" "TAIR10" "gene" 9202880 9203623 "AT3G25265" NA NA NA 1 NA
"148" "Chr3" "TAIR10" "gene" 9203934 9204965 "AT3G25270" NA NA NA 1 NA
"149" "Chr3" "TAIR10" "gene" 9260838 9268797 "AT3G25510" NA NA NA 1 NA
"150" "Chr3" "TAIR10" "gene" 9269293 9271400 "AT3G25520" NA NA NA 1 NA
"151" "Chr5" "TAIR10" "gene" 17203742 17205380 "AT5G42910" NA NA NA 1 NA
"152" "Chr5" "TAIR10" "gene" 17206151 17209545 "AT5G42920" NA NA NA 1 NA
"153" "Chr1" "TAIR10" "gene" 3333595 3337491 "AT1G10170" NA NA NA NA 1
"154" "Chr1" "TAIR10" "gene" 3333595 3337491 "AT1G10170" NA NA NA NA 1
"155" "Chr1" "TAIR10" "gene" 18522441 18539995 "AT1G50030" NA NA NA NA 1
"156" "Chr1" "TAIR10" "gene" 22617370 22619853 "AT1G61320" NA NA NA NA 1
"157" "Chr1" "TAIR10" "gene" 22617370 22619853 "AT1G61320" NA NA NA NA 1
"158" "Chr2" "TAIR10" "gene" 4106183 4106356 "AT2G10557" NA NA NA NA 1
"159" "Chr3" "TAIR10" "gene" 2980221 2983618 "AT3G09720" NA NA NA NA 1
"160" "Chr3" "TAIR10" "gene" 2983934 2986455 "AT3G09730" NA NA NA NA 1
"161" "Chr3" "TAIR10" "gene" 2983934 2986455 "AT3G09730" NA NA NA NA 1
"162" "Chr3" "TAIR10" "gene" 2986626 2987969 "AT3G09735" NA NA NA NA 1
"163" "Chr3" "TAIR10" "gene" 2986626 2987969 "AT3G09735" NA NA NA NA 1
"164" "Chr3" "TAIR10" "gene" 2986626 2987969 "AT3G09735" NA NA NA NA 1
"165" "Chr3" "TAIR10" "gene" 2986626 2987969 "AT3G09735" NA NA NA NA 1
"166" "Chr3" "TAIR10" "gene" 2986626 2987969 "AT3G09735" NA NA NA NA 1
"167" "Chr3" "TAIR10" "gene" 2989431 2991661 "AT3G09740" NA NA NA NA 1
"168" "Chr3" "TAIR10" "gene" 12702587 12703222 "AT3G31350" NA NA NA NA 1
"169" "Chr3" "TAIR10" "gene" 12702587 12703222 "AT3G31350" NA NA NA NA 1
"170" "Chr3" "TAIR10" "gene" 17231773 17234002 "AT3G46790" NA NA NA NA 1
"171" "Chr3" "TAIR10" "gene" 17234494 17236542 "AT3G46800" NA NA NA NA 1
"172" "Chr3" "TAIR10" "gene" 22642983 22643309 "AT3G61175" NA NA NA NA 1
"173" "Chr3" "TAIR10" "gene" 22644470 22644791 "AT3G61177" NA NA NA NA 1
"174" "Chr3" "TAIR10" "gene" 22645566 22647667 "AT3G61180" NA NA NA NA 1
"175" "Chr3" "TAIR10" "gene" 22647771 22648168 "AT3G61182" NA NA NA NA 1
"176" "Chr3" "TAIR10" "gene" 22645566 22647667 "AT3G61180" NA NA NA NA 1
"177" "Chr3" "TAIR10" "gene" 22647771 22648168 "AT3G61182" NA NA NA NA 1
"178" "Chr4" "TAIR10" "gene" 8344616 8345218 "AT4G14540" NA NA NA NA 1
"179" "Chr5" "TAIR10" "gene" 24017511 24018077 "AT5G59616" NA NA NA NA 1
"180" "Chr5" "TAIR10" "gene" 24017511 24018077 "AT5G59616" NA NA NA NA 1
