"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N"
"69" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"70" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"71" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"72" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"73" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"74" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"75" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"76" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"77" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"78" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"79" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"80" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"81" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"82" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"83" "Chr3" "TAIR10" "gene" 12529843 12531235 "AT3G30820" 1 NA NA NA NA
"84" "Chr4" "TAIR10" "gene" 9457317 9459394 "AT4G16807" 1 NA NA NA NA
"85" "Chr4" "TAIR10" "gene" 9459870 9462253 "AT4G16810" 1 NA NA NA NA
"86" "Chr4" "TAIR10" "gene" 9467563 9469116 "AT4G16820" 1 NA NA NA NA
"87" "Chr4" "TAIR10" "gene" 9470385 9472594 "AT4G16830" 1 NA NA NA NA
"88" "Chr4" "TAIR10" "gene" 9472763 9474803 "AT4G16835" 1 NA NA NA NA
"89" "Chr4" "TAIR10" "gene" 9474885 9475523 "AT4G16840" 1 NA NA NA NA
"90" "Chr4" "TAIR10" "gene" 9476143 9479878 "AT4G16845" 1 NA NA NA NA
"91" "Chr5" "TAIR10" "gene" 7139892 7144272 "AT5G21030" 1 NA NA NA NA
"92" "Chr5" "TAIR10" "gene" 7144877 7147277 "AT5G21040" 1 NA NA NA NA
"93" "Chr5" "TAIR10" "gene" 7147890 7148957 "AT5G21050" 1 NA NA NA NA
"94" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA
"95" "Chr5" "TAIR10" "gene" 7156173 7157775 "AT5G21070" 1 NA NA NA NA
"96" "Chr5" "TAIR10" "gene" 7158035 7163188 "AT5G21080" 1 NA NA NA NA
"97" "Chr5" "TAIR10" "gene" 7144877 7147277 "AT5G21040" 1 NA NA NA NA
"98" "Chr5" "TAIR10" "gene" 7147890 7148957 "AT5G21050" 1 NA NA NA NA
"99" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA
"100" "Chr5" "TAIR10" "gene" 7156173 7157775 "AT5G21070" 1 NA NA NA NA
"101" "Chr5" "TAIR10" "gene" 7158035 7163188 "AT5G21080" 1 NA NA NA NA
"102" "Chr5" "TAIR10" "gene" 16794967 16798006 "AT5G41990" 1 NA NA NA NA
"103" "Chr5" "TAIR10" "gene" 16794967 16798006 "AT5G41992" 1 NA NA NA NA
"104" "Chr5" "TAIR10" "gene" 16799354 16801028 "AT5G42000" 1 NA NA NA NA
"105" "Chr5" "TAIR10" "gene" 16802280 16805013 "AT5G42010" 1 NA NA NA NA
"106" "Chr5" "TAIR10" "gene" 16807483 16810646 "AT5G42020" 1 NA NA NA NA
"107" "Chr5" "TAIR10" "gene" 16811384 16813183 "AT5G42030" 1 NA NA NA NA
"108" "Chr5" "TAIR10" "gene" 16813835 16814749 "AT5G42040" 1 NA NA NA NA
"109" "Chr5" "TAIR10" "gene" 16815489 16817301 "AT5G42050" 1 NA NA NA NA
"110" "Chr1" "TAIR10" "gene" 2638181 2640554 "AT1G08370" NA 1 NA NA NA
"111" "Chr1" "TAIR10" "gene" 2640813 2641828 "AT1G08380" NA 1 NA NA NA
"112" "Chr1" "TAIR10" "gene" 2642214 2643285 "AT1G08390" NA 1 NA NA NA
"113" "Chr1" "TAIR10" "gene" 2643330 2646035 "AT1G08400" NA 1 NA NA NA
"114" "Chr1" "TAIR10" "gene" 2646189 2649379 "AT1G08410" NA 1 NA NA NA
"115" "Chr1" "TAIR10" "gene" 2649537 2657120 "AT1G08420" NA 1 NA NA NA
"116" "Chr1" "TAIR10" "gene" 2643330 2646035 "AT1G08400" NA 1 NA NA NA
"117" "Chr1" "TAIR10" "gene" 2646189 2649379 "AT1G08410" NA 1 NA NA NA
"118" "Chr1" "TAIR10" "gene" 2649537 2657120 "AT1G08420" NA 1 NA NA NA
"119" "Chr1" "TAIR10" "gene" 2658716 2661029 "AT1G08430" NA 1 NA NA NA
"120" "Chr1" "TAIR10" "gene" 2663027 2665343 "AT1G08440" NA 1 NA NA NA
"121" "Chr1" "TAIR10" "gene" 7244939 7248143 "AT1G20840" NA 1 NA NA NA
"122" "Chr1" "TAIR10" "gene" 7252174 7253731 "AT1G20850" NA 1 NA NA NA
"123" "Chr1" "TAIR10" "gene" 7254007 7258677 "AT1G20860" NA 1 NA NA NA
"124" "Chr1" "TAIR10" "gene" 7259102 7260775 "AT1G20870" NA 1 NA NA NA
"125" "Chr1" "TAIR10" "gene" 7261481 7261681 "AT1G20875" NA 1 NA NA NA
"126" "Chr1" "TAIR10" "gene" 7262043 7265438 "AT1G20880" NA 1 NA NA NA
"127" "Chr1" "TAIR10" "gene" 7265823 7267323 "AT1G20890" NA 1 NA NA NA
"128" "Chr1" "TAIR10" "gene" 8711036 8711528 "AT1G24575" NA 1 NA NA NA
"129" "Chr1" "TAIR10" "gene" 8712478 8713032 "AT1G24577" NA 1 NA NA NA
"130" "Chr1" "TAIR10" "gene" 8710180 8710824 "AT1G24580" NA 1 NA NA NA
"131" "Chr1" "TAIR10" "gene" 8714389 8715309 "AT1G24590" NA 1 NA NA NA
"132" "Chr1" "TAIR10" "gene" 8720309 8720721 "AT1G24600" NA 1 NA NA NA
"133" "Chr1" "TAIR10" "gene" 8720651 8722746 "AT1G24610" NA 1 NA NA NA
"134" "Chr1" "TAIR10" "gene" 8723712 8724459 "AT1G24620" NA 1 NA NA NA
"135" "Chr1" "TAIR10" "gene" 8725883 8727212 "AT1G24625" NA 1 NA NA NA
"136" "Chr1" "TAIR10" "gene" 8711036 8711528 "AT1G24575" NA 1 NA NA NA
"137" "Chr1" "TAIR10" "gene" 8712478 8713032 "AT1G24577" NA 1 NA NA NA
"138" "Chr1" "TAIR10" "gene" 8714389 8715309 "AT1G24590" NA 1 NA NA NA
"139" "Chr1" "TAIR10" "gene" 8720309 8720721 "AT1G24600" NA 1 NA NA NA
"140" "Chr1" "TAIR10" "gene" 8720651 8722746 "AT1G24610" NA 1 NA NA NA
"141" "Chr1" "TAIR10" "gene" 8723712 8724459 "AT1G24620" NA 1 NA NA NA
"142" "Chr1" "TAIR10" "gene" 8725883 8727212 "AT1G24625" NA 1 NA NA NA
"143" "Chr1" "TAIR10" "gene" 8714389 8715309 "AT1G24590" NA 1 NA NA NA
"144" "Chr1" "TAIR10" "gene" 8720309 8720721 "AT1G24600" NA 1 NA NA NA
"145" "Chr1" "TAIR10" "gene" 8720651 8722746 "AT1G24610" NA 1 NA NA NA
"146" "Chr1" "TAIR10" "gene" 8723712 8724459 "AT1G24620" NA 1 NA NA NA
"147" "Chr1" "TAIR10" "gene" 8725883 8727212 "AT1G24625" NA 1 NA NA NA
"148" "Chr1" "TAIR10" "gene" 8720309 8720721 "AT1G24600" NA 1 NA NA NA
"149" "Chr1" "TAIR10" "gene" 8720651 8722746 "AT1G24610" NA 1 NA NA NA
"150" "Chr1" "TAIR10" "gene" 8723712 8724459 "AT1G24620" NA 1 NA NA NA
"151" "Chr1" "TAIR10" "gene" 8725883 8727212 "AT1G24625" NA 1 NA NA NA
"152" "Chr1" "TAIR10" "gene" 8734570 8737315 "AT1G24650" NA 1 NA NA NA
"153" "Chr1" "TAIR10" "gene" 11232333 11237530 "AT1G31360" NA 1 NA NA NA
"154" "Chr1" "TAIR10" "gene" 11238298 11239363 "AT1G31370" NA 1 NA NA NA
"155" "Chr1" "TAIR10" "gene" 11240451 11241099 "AT1G31380" NA 1 NA NA NA
"156" "Chr1" "TAIR10" "gene" 11243191 11244392 "AT1G31390" NA 1 NA NA NA
"157" "Chr1" "TAIR10" "gene" 11245225 11246481 "AT1G31400" NA 1 NA NA NA
"158" "Chr1" "TAIR10" "gene" 11246914 11249359 "AT1G31410" NA 1 NA NA NA
"159" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"160" "Chr1" "TAIR10" "gene" 11253936 11255737 "AT1G31430" NA 1 NA NA NA
"161" "Chr1" "TAIR10" "gene" 11238298 11239363 "AT1G31370" NA 1 NA NA NA
"162" "Chr1" "TAIR10" "gene" 11240451 11241099 "AT1G31380" NA 1 NA NA NA
"163" "Chr1" "TAIR10" "gene" 11243191 11244392 "AT1G31390" NA 1 NA NA NA
"164" "Chr1" "TAIR10" "gene" 11245225 11246481 "AT1G31400" NA 1 NA NA NA
"165" "Chr1" "TAIR10" "gene" 11246914 11249359 "AT1G31410" NA 1 NA NA NA
"166" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"167" "Chr1" "TAIR10" "gene" 11253936 11255737 "AT1G31430" NA 1 NA NA NA
"168" "Chr1" "TAIR10" "gene" 11255836 11258715 "AT1G31440" NA 1 NA NA NA
"169" "Chr1" "TAIR10" "gene" 11238298 11239363 "AT1G31370" NA 1 NA NA NA
"170" "Chr1" "TAIR10" "gene" 11240451 11241099 "AT1G31380" NA 1 NA NA NA
"171" "Chr1" "TAIR10" "gene" 11243191 11244392 "AT1G31390" NA 1 NA NA NA
"172" "Chr1" "TAIR10" "gene" 11245225 11246481 "AT1G31400" NA 1 NA NA NA
"173" "Chr1" "TAIR10" "gene" 11246914 11249359 "AT1G31410" NA 1 NA NA NA
"174" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"175" "Chr1" "TAIR10" "gene" 11253936 11255737 "AT1G31430" NA 1 NA NA NA
"176" "Chr1" "TAIR10" "gene" 11255836 11258715 "AT1G31440" NA 1 NA NA NA
"177" "Chr1" "TAIR10" "gene" 11243191 11244392 "AT1G31390" NA 1 NA NA NA
"178" "Chr1" "TAIR10" "gene" 11245225 11246481 "AT1G31400" NA 1 NA NA NA
"179" "Chr1" "TAIR10" "gene" 11246914 11249359 "AT1G31410" NA 1 NA NA NA
"180" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"181" "Chr1" "TAIR10" "gene" 11253936 11255737 "AT1G31430" NA 1 NA NA NA
"182" "Chr1" "TAIR10" "gene" 11255836 11258715 "AT1G31440" NA 1 NA NA NA
"183" "Chr1" "TAIR10" "gene" 11259872 11261209 "AT1G31450" NA 1 NA NA NA
"184" "Chr1" "TAIR10" "gene" 11243191 11244392 "AT1G31390" NA 1 NA NA NA
"185" "Chr1" "TAIR10" "gene" 11245225 11246481 "AT1G31400" NA 1 NA NA NA
"186" "Chr1" "TAIR10" "gene" 11246914 11249359 "AT1G31410" NA 1 NA NA NA
"187" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA
"188" "Chr1" "TAIR10" "gene" 11253936 11255737 "AT1G31430" NA 1 NA NA NA
"189" "Chr1" "TAIR10" "gene" 11255836 11258715 "AT1G31440" NA 1 NA NA NA
"190" "Chr1" "TAIR10" "gene" 11259872 11261209 "AT1G31450" NA 1 NA NA NA
"191" "Chr1" "TAIR10" "gene" 11261541 11263364 "AT1G31460" NA 1 NA NA NA
"192" "Chr1" "TAIR10" "gene" 19407364 19408254 "AT1G52140" NA 1 NA NA NA
"193" "Chr1" "TAIR10" "gene" 19409711 19414678 "AT1G52150" NA 1 NA NA NA
"194" "Chr1" "TAIR10" "gene" 19417666 19419853 "AT1G52155" NA 1 NA NA NA
"195" "Chr1" "TAIR10" "gene" 19420715 19424439 "AT1G52160" NA 1 NA NA NA
"196" "Chr1" "TAIR10" "gene" 19424555 19424628 "AT1G52170" NA 1 NA NA NA
"197" "Chr1" "TAIR10" "gene" 21713842 21717290 "AT1G58440" NA 1 NA NA NA
"198" "Chr1" "TAIR10" "gene" 21718014 21718916 "AT1G58450" NA 1 NA NA NA
"199" "Chr1" "TAIR10" "gene" 21721404 21722429 "AT1G58460" NA 1 NA NA NA
"200" "Chr1" "TAIR10" "gene" 21727024 21728760 "AT1G58470" NA 1 NA NA NA
"201" "Chr1" "TAIR10" "gene" 21729913 21738652 "AT1G58520" NA 1 NA NA NA
"202" "Chr1" "TAIR10" "gene" 27457266 27462392 "AT1G72990" NA 1 NA NA NA
"203" "Chr1" "TAIR10" "gene" 27462995 27463877 "AT1G73000" NA 1 NA NA NA
"204" "Chr1" "TAIR10" "gene" 27464572 27466256 "AT1G73010" NA 1 NA NA NA
"205" "Chr1" "TAIR10" "gene" 27469534 27473554 "AT1G73020" NA 1 NA NA NA
"206" "Chr1" "TAIR10" "gene" 27473826 27475122 "AT1G73030" NA 1 NA NA NA
"207" "Chr1" "TAIR10" "gene" 27475060 27475962 "AT1G73040" NA 1 NA NA NA
"208" "Chr1" "TAIR10" "gene" 27476565 27478534 "AT1G73050" NA 1 NA NA NA
"209" "Chr1" "TAIR10" "gene" 27478970 27481448 "AT1G73060" NA 1 NA NA NA
"210" "Chr2" "TAIR10" "gene" 1695355 1695856 "AT2G04830" NA 1 NA NA NA
"211" "Chr2" "TAIR10" "gene" 1697009 1698240 "AT2G04840" NA 1 NA NA NA
"212" "Chr2" "TAIR10" "gene" 1698466 1701271 "AT2G04842" NA 1 NA NA NA
"213" "Chr2" "TAIR10" "gene" 1702221 1704003 "AT2G04845" NA 1 NA NA NA
"214" "Chr2" "TAIR10" "gene" 1704283 1705778 "AT2G04850" NA 1 NA NA NA
"215" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"216" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"217" "Chr2" "TAIR10" "gene" 1711596 1714877 "AT2G04865" NA 1 NA NA NA
"218" "Chr2" "TAIR10" "gene" 1697009 1698240 "AT2G04840" NA 1 NA NA NA
"219" "Chr2" "TAIR10" "gene" 1698466 1701271 "AT2G04842" NA 1 NA NA NA
"220" "Chr2" "TAIR10" "gene" 1702221 1704003 "AT2G04845" NA 1 NA NA NA
"221" "Chr2" "TAIR10" "gene" 1704283 1705778 "AT2G04850" NA 1 NA NA NA
"222" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"223" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"224" "Chr2" "TAIR10" "gene" 1711596 1714877 "AT2G04865" NA 1 NA NA NA
"225" "Chr2" "TAIR10" "gene" 1716168 1716386 "AT2G04870" NA 1 NA NA NA
"226" "Chr2" "TAIR10" "gene" 1698466 1701271 "AT2G04842" NA 1 NA NA NA
"227" "Chr2" "TAIR10" "gene" 1702221 1704003 "AT2G04845" NA 1 NA NA NA
"228" "Chr2" "TAIR10" "gene" 1704283 1705778 "AT2G04850" NA 1 NA NA NA
"229" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"230" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"231" "Chr2" "TAIR10" "gene" 1711596 1714877 "AT2G04865" NA 1 NA NA NA
"232" "Chr2" "TAIR10" "gene" 1716168 1716386 "AT2G04870" NA 1 NA NA NA
"233" "Chr2" "TAIR10" "gene" 1717888 1720526 "AT2G04880" NA 1 NA NA NA
"234" "Chr2" "TAIR10" "gene" 1698466 1701271 "AT2G04842" NA 1 NA NA NA
"235" "Chr2" "TAIR10" "gene" 1702221 1704003 "AT2G04845" NA 1 NA NA NA
"236" "Chr2" "TAIR10" "gene" 1704283 1705778 "AT2G04850" NA 1 NA NA NA
"237" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"238" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"239" "Chr2" "TAIR10" "gene" 1711596 1714877 "AT2G04865" NA 1 NA NA NA
"240" "Chr2" "TAIR10" "gene" 1716168 1716386 "AT2G04870" NA 1 NA NA NA
"241" "Chr2" "TAIR10" "gene" 1717888 1720526 "AT2G04880" NA 1 NA NA NA
"242" "Chr2" "TAIR10" "gene" 1698466 1701271 "AT2G04842" NA 1 NA NA NA
"243" "Chr2" "TAIR10" "gene" 1702221 1704003 "AT2G04845" NA 1 NA NA NA
"244" "Chr2" "TAIR10" "gene" 1704283 1705778 "AT2G04850" NA 1 NA NA NA
"245" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"246" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"247" "Chr2" "TAIR10" "gene" 1711596 1714877 "AT2G04865" NA 1 NA NA NA
"248" "Chr2" "TAIR10" "gene" 1716168 1716386 "AT2G04870" NA 1 NA NA NA
"249" "Chr2" "TAIR10" "gene" 1717888 1720526 "AT2G04880" NA 1 NA NA NA
"250" "Chr2" "TAIR10" "gene" 1698466 1701271 "AT2G04842" NA 1 NA NA NA
"251" "Chr2" "TAIR10" "gene" 1702221 1704003 "AT2G04845" NA 1 NA NA NA
"252" "Chr2" "TAIR10" "gene" 1704283 1705778 "AT2G04850" NA 1 NA NA NA
"253" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"254" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"255" "Chr2" "TAIR10" "gene" 1711596 1714877 "AT2G04865" NA 1 NA NA NA
"256" "Chr2" "TAIR10" "gene" 1716168 1716386 "AT2G04870" NA 1 NA NA NA
"257" "Chr2" "TAIR10" "gene" 1717888 1720526 "AT2G04880" NA 1 NA NA NA
"258" "Chr2" "TAIR10" "gene" 1720361 1722604 "AT2G04890" NA 1 NA NA NA
"259" "Chr2" "TAIR10" "gene" 1698466 1701271 "AT2G04842" NA 1 NA NA NA
"260" "Chr2" "TAIR10" "gene" 1702221 1704003 "AT2G04845" NA 1 NA NA NA
"261" "Chr2" "TAIR10" "gene" 1704283 1705778 "AT2G04850" NA 1 NA NA NA
"262" "Chr2" "TAIR10" "gene" 1705148 1706465 "AT2G04852" NA 1 NA NA NA
"263" "Chr2" "TAIR10" "gene" 1706787 1708865 "AT2G04860" NA 1 NA NA NA
"264" "Chr2" "TAIR10" "gene" 1711596 1714877 "AT2G04865" NA 1 NA NA NA
"265" "Chr2" "TAIR10" "gene" 1716168 1716386 "AT2G04870" NA 1 NA NA NA
"266" "Chr2" "TAIR10" "gene" 1717888 1720526 "AT2G04880" NA 1 NA NA NA
"267" "Chr2" "TAIR10" "gene" 1720361 1722604 "AT2G04890" NA 1 NA NA NA
"268" "Chr2" "TAIR10" "gene" 2322222 2325146 "AT2G05990" NA 1 NA NA NA
"269" "Chr2" "TAIR10" "gene" 2325776 2326876 "AT2G05995" NA 1 NA NA NA
"270" "Chr2" "TAIR10" "gene" 2327386 2329691 "AT2G06000" NA 1 NA NA NA
"271" "Chr2" "TAIR10" "gene" 2330776 2331479 "AT2G06002" NA 1 NA NA NA
"272" "Chr2" "TAIR10" "gene" 2332547 2336156 "AT2G06005" NA 1 NA NA NA
"273" "Chr2" "TAIR10" "gene" 2336814 2338902 "AT2G06010" NA 1 NA NA NA
"274" "Chr2" "TAIR10" "gene" 6723948 6728183 "AT2G15420" NA 1 NA NA NA
"275" "Chr2" "TAIR10" "gene" 6733566 6735675 "AT2G15430" NA 1 NA NA NA
"276" "Chr2" "TAIR10" "gene" 6723948 6728183 "AT2G15420" NA 1 NA NA NA
"277" "Chr2" "TAIR10" "gene" 6733566 6735675 "AT2G15430" NA 1 NA NA NA
"278" "Chr2" "TAIR10" "gene" 6733566 6735675 "AT2G15430" NA 1 NA NA NA
"279" "Chr2" "TAIR10" "gene" 6743613 6744830 "AT2G15440" NA 1 NA NA NA
"280" "Chr2" "TAIR10" "gene" 6747536 6749256 "AT2G15450" NA 1 NA NA NA
"281" "Chr2" "TAIR10" "gene" 6750934 6752647 "AT2G15460" NA 1 NA NA NA
"282" "Chr2" "TAIR10" "gene" 6754330 6756051 "AT2G15470" NA 1 NA NA NA
"283" "Chr2" "TAIR10" "gene" 6733566 6735675 "AT2G15430" NA 1 NA NA NA
